@relation Dataset_persona_comas_res

@attribute Zona {Urbana,Rural}
@attribute Sexo {Hombre,Mujer}
@attribute Edad numeric
@attribute 'Estado Civil' numeric
@attribute Pueblo numeric
@attribute 'Nivel edu' numeric
@attribute Matricula {no,si}
@attribute 'Prox Nivel ed' numeric

@data
Urbana,Mujer,53,5,1,71,no,0
Urbana,Hombre,32,1,1,72,si,73
Urbana,Mujer,23,1,1,42,no,0
Urbana,Mujer,18,1,1,42,no,0
Urbana,Hombre,61,2,1,22,no,0
Urbana,Mujer,58,2,1,21,no,0
Urbana,Hombre,30,3,1,72,no,0
Urbana,Mujer,25,3,1,72,no,0
Urbana,Mujer,7,1,1,41,si,41
Urbana,Mujer,53,1,1,21,no,0
Urbana,Hombre,22,1,2,42,no,0
Urbana,Mujer,25,1,2,32,no,0
Urbana,Hombre,5,1,2,11,si,13
Urbana,Mujer,2,1,2,0,no,0
Urbana,Mujer,94,6,1,11,no,0
Urbana,Mujer,16,1,1,42,si,42
Urbana,Hombre,37,1,2,32,no,0
Urbana,Hombre,37,2,2,32,no,0
Urbana,Mujer,33,2,2,72,no,0
Urbana,Mujer,8,1,2,41,si,41
Urbana,Hombre,67,2,1,23,no,0
Urbana,Mujer,65,2,1,31,no,0
Urbana,Hombre,52,4,1,22,no,0
Urbana,Hombre,22,1,1,42,no,0
Urbana,Hombre,51,2,1,32,no,0
Urbana,Mujer,49,2,1,31,no,0
Urbana,Mujer,12,1,1,41,si,41
Urbana,Hombre,80,2,1,23,no,0
Urbana,Hombre,47,2,2,23,no,0
Urbana,Mujer,45,2,2,23,no,0
Urbana,Mujer,21,1,2,72,si,72
Urbana,Mujer,19,1,2,72,si,72
Urbana,Hombre,30,3,2,32,no,0
Urbana,Mujer,22,3,2,42,no,0
Urbana,Hombre,7,1,2,41,si,41
Urbana,Mujer,41,6,1,21,no,0
Urbana,Hombre,22,1,2,72,si,72
Urbana,Hombre,21,1,2,42,no,0
Urbana,Hombre,17,1,2,42,no,0
Urbana,Mujer,71,6,1,21,no,0
Urbana,Hombre,58,2,2,23,no,0
Urbana,Mujer,54,2,2,22,no,0
Urbana,Hombre,51,2,2,32,no,0
Urbana,Mujer,42,2,1,32,no,0
Urbana,Hombre,44,2,1,72,no,0
Urbana,Mujer,39,2,1,72,no,0
Urbana,Hombre,11,1,2,41,si,41
Urbana,Mujer,6,1,2,13,si,41
Urbana,Hombre,51,2,1,23,no,0
Urbana,Mujer,47,2,1,23,no,0
Urbana,Hombre,23,1,1,42,no,0
Urbana,Hombre,51,2,1,23,no,0
Urbana,Mujer,49,2,1,21,no,0
Urbana,Hombre,10,1,2,41,si,41
Urbana,Mujer,9,1,2,41,si,41
Urbana,Hombre,82,1,1,21,no,0
Urbana,Hombre,27,1,2,32,no,0
Urbana,Mujer,46,2,1,23,no,0
Urbana,Mujer,21,1,2,72,si,72
Urbana,Mujer,28,1,1,32,no,0
Urbana,Mujer,29,1,1,32,no,0
Urbana,Hombre,48,2,2,22,no,0
Urbana,Mujer,40,2,1,21,no,0
Urbana,Mujer,21,1,2,42,no,0
Urbana,Mujer,13,1,2,42,si,42
Urbana,Mujer,11,1,2,41,si,41
Urbana,Mujer,8,1,2,41,si,41
Urbana,Mujer,5,1,2,11,no,0
Urbana,Mujer,18,3,2,42,no,0
Urbana,Hombre,18,3,2,42,no,0
Urbana,Mujer,0,1,2,0,no,0
Urbana,Hombre,36,2,2,32,no,0
Urbana,Mujer,34,2,2,32,no,0
Urbana,Hombre,16,1,2,42,si,42
Urbana,Mujer,8,1,2,41,si,41
Urbana,Hombre,70,2,2,23,no,0
Urbana,Mujer,69,2,2,23,no,0
Urbana,Mujer,51,5,2,72,no,0
Urbana,Mujer,17,1,2,42,si,42
Urbana,Hombre,65,2,1,21,no,0
Urbana,Mujer,64,2,1,21,no,0
Urbana,Mujer,34,1,2,72,no,0
Urbana,Hombre,28,1,2,72,si,72
Urbana,Hombre,33,2,2,77,no,0
Urbana,Mujer,32,2,2,72,no,0
Urbana,Hombre,6,1,2,13,si,41
Urbana,Hombre,4,1,2,11,si,13
Urbana,Hombre,44,2,2,72,no,0
Urbana,Mujer,42,2,2,72,si,72
Urbana,Hombre,21,1,2,72,si,72
Urbana,Hombre,16,1,2,42,si,42
Urbana,Mujer,7,1,2,41,si,41
Urbana,Hombre,56,2,2,23,no,0
Urbana,Mujer,53,2,2,23,no,0
Urbana,Hombre,24,1,2,72,si,72
Urbana,Hombre,20,1,2,72,si,72
Urbana,Mujer,14,1,2,42,si,42
Urbana,Hombre,39,2,1,77,no,0
Urbana,Mujer,37,2,1,72,no,0
Urbana,Mujer,16,1,1,42,si,42
Urbana,Mujer,14,1,1,42,si,42
Urbana,Mujer,66,6,1,21,no,0
Urbana,Hombre,40,3,1,21,no,0
